quarter,level_1,level_2,value
1990-Q4,Total,Medical Goods & Toiletries,na
1990-Q4,Total,Wearing Apparel & Footwear,na
1990-Q4,Total,Furniture & Household Equipment,48.8
1990-Q4,Total,Recreational Goods,na
1990-Q4,Total,Watches & Jewellery,na
1990-Q4,Total,Computer & Telecommunications Equipment,na
1990-Q4,Total,Optical Goods & Books,na
1990-Q4,Total,Others,na
1991-Q1,Total,Department Stores,na
1991-Q1,Total,Supermarkets,na
1991-Q1,Total,Mini-marts & Convenience Stores,90
1991-Q1,Total,Food Retailers,na
1991-Q1,Total,Motor Vehicles,49.5
1991-Q1,Total,Petrol Service Stations,86.7
1991-Q1,Total,Medical Goods & Toiletries,na
1991-Q1,Total,Wearing Apparel & Footwear,na
1991-Q1,Total,Furniture & Household Equipment,42.5
1991-Q1,Total,Recreational Goods,na
1991-Q1,Total,Watches & Jewellery,na
1991-Q1,Total,Computer & Telecommunications Equipment,na
1991-Q1,Total,Optical Goods & Books,na
1991-Q1,Total,Others,na
1991-Q2,Total,Department Stores,na
1991-Q2,Total,Supermarkets,na
1991-Q2,Total,Mini-marts & Convenience Stores,83.1
1991-Q2,Total,Food Retailers,na
1991-Q2,Total,Motor Vehicles,49.5
1991-Q2,Total,Petrol Service Stations,89
1991-Q2,Total,Medical Goods & Toiletries,na
1991-Q2,Total,Wearing Apparel & Footwear,na
1991-Q2,Total,Furniture & Household Equipment,44.2
1991-Q2,Total,Recreational Goods,na
1991-Q2,Total,Watches & Jewellery,na
1991-Q2,Total,Computer & Telecommunications Equipment,na
1991-Q2,Total,Optical Goods & Books,na
1991-Q2,Total,Others,na
1991-Q3,Total,Department Stores,na
1991-Q3,Total,Supermarkets,na
1991-Q3,Total,Mini-marts & Convenience Stores,82.8
1991-Q3,Total,Food Retailers,na
1991-Q3,Total,Motor Vehicles,50.3
1991-Q3,Total,Petrol Service Stations,88.8
1991-Q3,Total,Medical Goods & Toiletries,na
1991-Q3,Total,Wearing Apparel & Footwear,na
1991-Q3,Total,Furniture & Household Equipment,42.1
1991-Q3,Total,Recreational Goods,na
1991-Q3,Total,Watches & Jewellery,na
1991-Q3,Total,Computer & Telecommunications Equipment,na
1991-Q3,Total,Optical Goods & Books,na
1991-Q3,Total,Others,na
1991-Q4,Total,Department Stores,na
1991-Q4,Total,Supermarkets,na
1991-Q4,Total,Mini-marts & Convenience Stores,82
1991-Q4,Total,Food Retailers,na
1991-Q4,Total,Motor Vehicles,62.5
1991-Q4,Total,Petrol Service Stations,88.5
1991-Q4,Total,Medical Goods & Toiletries,na
1991-Q4,Total,Wearing Apparel & Footwear,na
1991-Q4,Total,Furniture & Household Equipment,50.3
1991-Q4,Total,Recreational Goods,na
1991-Q4,Total,Watches & Jewellery,na
1991-Q4,Total,Computer & Telecommunications Equipment,na
1991-Q4,Total,Optical Goods & Books,na
1991-Q4,Total,Others,na
1992-Q1,Total,Department Stores,na
1992-Q1,Total,Supermarkets,na
1992-Q1,Total,Mini-marts & Convenience Stores,83.5
1992-Q1,Total,Food Retailers,na
1992-Q1,Total,Motor Vehicles,64.2
1992-Q1,Total,Petrol Service Stations,92.8
1992-Q1,Total,Medical Goods & Toiletries,na
1992-Q1,Total,Wearing Apparel & Footwear,na
1992-Q1,Total,Furniture & Household Equipment,48.1
1992-Q1,Total,Recreational Goods,na
1992-Q1,Total,Watches & Jewellery,na
1992-Q1,Total,Computer & Telecommunications Equipment,na
1992-Q1,Total,Optical Goods & Books,na
1992-Q1,Total,Others,na
1992-Q2,Total,Department Stores,na
1992-Q2,Total,Supermarkets,na
1992-Q2,Total,Mini-marts & Convenience Stores,77.6
1992-Q2,Total,Food Retailers,na
1992-Q2,Total,Motor Vehicles,74.1
1992-Q2,Total,Petrol Service Stations,93.4
1992-Q2,Total,Medical Goods & Toiletries,na
1992-Q2,Total,Wearing Apparel & Footwear,na
1992-Q2,Total,Furniture & Household Equipment,43.2
1992-Q2,Total,Recreational Goods,na
1992-Q2,Total,Watches & Jewellery,na
1992-Q2,Total,Computer & Telecommunications Equipment,na
1992-Q2,Total,Optical Goods & Books,na
1992-Q2,Total,Others,na
1992-Q3,Total,Department Stores,na
1992-Q3,Total,Supermarkets,na
1992-Q3,Total,Mini-marts & Convenience Stores,81.8
1992-Q3,Total,Food Retailers,na
1992-Q3,Total,Motor Vehicles,63.4
1992-Q3,Total,Petrol Service Stations,98.2
1992-Q3,Total,Medical Goods & Toiletries,na
1992-Q3,Total,Wearing Apparel & Footwear,na
1992-Q3,Total,Furniture & Household Equipment,43.2
1992-Q3,Total,Recreational Goods,na
1992-Q3,Total,Watches & Jewellery,na
1992-Q3,Total,Computer & Telecommunications Equipment,na
1992-Q3,Total,Optical Goods & Books,na
1992-Q3,Total,Others,na
1992-Q4,Total,Department Stores,na
1992-Q4,Total,Supermarkets,na
1992-Q4,Total,Mini-marts & Convenience Stores,83.9
1992-Q4,Total,Food Retailers,na
1992-Q4,Total,Motor Vehicles,57.2
1992-Q4,Total,Petrol Service Stations,95.2
1992-Q4,Total,Medical Goods & Toiletries,na
1992-Q4,Total,Wearing Apparel & Footwear,na
1992-Q4,Total,Furniture & Household Equipment,47.2
1992-Q4,Total,Recreational Goods,na
1992-Q4,Total,Watches & Jewellery,na
1992-Q4,Total,Computer & Telecommunications Equipment,na
1992-Q4,Total,Optical Goods & Books,na
1992-Q4,Total,Others,na
1993-Q1,Total,Department Stores,56
1993-Q1,Total,Supermarkets,36.1
1993-Q1,Total,Mini-marts & Convenience Stores,84
1993-Q1,Total,Food Retailers,99
1993-Q1,Total,Motor Vehicles,90.4
1993-Q1,Total,Petrol Service Stations,96.4
1993-Q1,Total,Medical Goods & Toiletries,33.2
1993-Q1,Total,Wearing Apparel & Footwear,66.2
1993-Q1,Total,Furniture & Household Equipment,46.6
1993-Q1,Total,Recreational Goods,87.5
1993-Q1,Total,Watches & Jewellery,141.9
1993-Q1,Total,Computer & Telecommunications Equipment,5.9
1993-Q1,Total,Optical Goods & Books,67.2
1993-Q1,Total,Others,102.6
1993-Q2,Total,Department Stores,50.9
1993-Q2,Total,Supermarkets,35
1993-Q2,Total,Mini-marts & Convenience Stores,78.3
1993-Q2,Total,Food Retailers,90.8
1993-Q2,Total,Motor Vehicles,84.9
1993-Q2,Total,Petrol Service Stations,96.5
1993-Q2,Total,Medical Goods & Toiletries,33.1
1993-Q2,Total,Wearing Apparel & Footwear,56.3
1993-Q2,Total,Furniture & Household Equipment,41
1993-Q2,Total,Recreational Goods,88.3
1993-Q2,Total,Watches & Jewellery,105.5
1993-Q2,Total,Computer & Telecommunications Equipment,6.7
1993-Q2,Total,Optical Goods & Books,65.3
1993-Q2,Total,Others,88.1
1993-Q3,Total,Department Stores,57
1993-Q3,Total,Supermarkets,36.4
1993-Q3,Total,Mini-marts & Convenience Stores,79.9
1993-Q3,Total,Food Retailers,100.1
1993-Q3,Total,Motor Vehicles,80.2
1993-Q3,Total,Petrol Service Stations,99.7
1993-Q3,Total,Medical Goods & Toiletries,35.5
1993-Q3,Total,Wearing Apparel & Footwear,61.9
1993-Q3,Total,Furniture & Household Equipment,45.4
1993-Q3,Total,Recreational Goods,79.9
1993-Q3,Total,Watches & Jewellery,96.2
1993-Q3,Total,Computer & Telecommunications Equipment,6.2
1993-Q3,Total,Optical Goods & Books,68.5
1993-Q3,Total,Others,87.5
1993-Q4,Total,Department Stores,65.2
1993-Q4,Total,Supermarkets,41.2
1993-Q4,Total,Mini-marts & Convenience Stores,81.3
1993-Q4,Total,Food Retailers,107.7
1993-Q4,Total,Motor Vehicles,69.4
1993-Q4,Total,Petrol Service Stations,101
1993-Q4,Total,Medical Goods & Toiletries,37.2
1993-Q4,Total,Wearing Apparel & Footwear,71.5
1993-Q4,Total,Furniture & Household Equipment,53.9
1993-Q4,Total,Recreational Goods,90.3
1993-Q4,Total,Watches & Jewellery,116.1
1993-Q4,Total,Computer & Telecommunications Equipment,6.5
1993-Q4,Total,Optical Goods & Books,83.5
1993-Q4,Total,Others,92.3
1994-Q1,Total,Department Stores,65
1994-Q1,Total,Supermarkets,39.6
1994-Q1,Total,Mini-marts & Convenience Stores,84.1
1994-Q1,Total,Food Retailers,126.9
1994-Q1,Total,Motor Vehicles,94.2
1994-Q1,Total,Petrol Service Stations,98
1994-Q1,Total,Medical Goods & Toiletries,41.1
1994-Q1,Total,Wearing Apparel & Footwear,73.7
1994-Q1,Total,Furniture & Household Equipment,59.6
1994-Q1,Total,Recreational Goods,86.3
1994-Q1,Total,Watches & Jewellery,133.2
1994-Q1,Total,Computer & Telecommunications Equipment,9.1
1994-Q1,Total,Optical Goods & Books,79.6
1994-Q1,Total,Others,98.4
1994-Q2,Total,Department Stores,52.4
1994-Q2,Total,Supermarkets,37.6
1994-Q2,Total,Mini-marts & Convenience Stores,72.7
1994-Q2,Total,Food Retailers,94.7
1994-Q2,Total,Motor Vehicles,65.6
1994-Q2,Total,Petrol Service Stations,98.7
1994-Q2,Total,Medical Goods & Toiletries,35
1994-Q2,Total,Wearing Apparel & Footwear,56.1
1994-Q2,Total,Furniture & Household Equipment,35.6
1994-Q2,Total,Recreational Goods,68.2
1994-Q2,Total,Watches & Jewellery,73.7
1994-Q2,Total,Computer & Telecommunications Equipment,7.6
1994-Q2,Total,Optical Goods & Books,67.6
1994-Q2,Total,Others,71.1
1994-Q3,Total,Department Stores,59.7
1994-Q3,Total,Supermarkets,39
1994-Q3,Total,Mini-marts & Convenience Stores,80.1
1994-Q3,Total,Food Retailers,97.3
1994-Q3,Total,Motor Vehicles,69.4
1994-Q3,Total,Petrol Service Stations,101.3
1994-Q3,Total,Medical Goods & Toiletries,39.1
1994-Q3,Total,Wearing Apparel & Footwear,64.6
1994-Q3,Total,Furniture & Household Equipment,40.9
1994-Q3,Total,Recreational Goods,74.3
1994-Q3,Total,Watches & Jewellery,90.4
1994-Q3,Total,Computer & Telecommunications Equipment,10.2
1994-Q3,Total,Optical Goods & Books,73.5
1994-Q3,Total,Others,80.3
1994-Q4,Total,Department Stores,66.4
1994-Q4,Total,Supermarkets,43.3
1994-Q4,Total,Mini-marts & Convenience Stores,82
1994-Q4,Total,Food Retailers,104.6
1994-Q4,Total,Motor Vehicles,64.4
1994-Q4,Total,Petrol Service Stations,101.4
1994-Q4,Total,Medical Goods & Toiletries,39
1994-Q4,Total,Wearing Apparel & Footwear,73.9
1994-Q4,Total,Furniture & Household Equipment,47.5
1994-Q4,Total,Recreational Goods,79.8
1994-Q4,Total,Watches & Jewellery,111.8
1994-Q4,Total,Computer & Telecommunications Equipment,11.5
1994-Q4,Total,Optical Goods & Books,86.3
1994-Q4,Total,Others,83.5
1995-Q1,Total,Department Stores,61.3
1995-Q1,Total,Supermarkets,45.1
1995-Q1,Total,Mini-marts & Convenience Stores,83
1995-Q1,Total,Food Retailers,116.2
1995-Q1,Total,Motor Vehicles,82.4
1995-Q1,Total,Petrol Service Stations,98.2
1995-Q1,Total,Medical Goods & Toiletries,40
1995-Q1,Total,Wearing Apparel & Footwear,72.1
1995-Q1,Total,Furniture & Household Equipment,48.4
1995-Q1,Total,Recreational Goods,66.1
1995-Q1,Total,Watches & Jewellery,104.5
1995-Q1,Total,Computer & Telecommunications Equipment,14.2
1995-Q1,Total,Optical Goods & Books,75.2
1995-Q1,Total,Others,81.2
1995-Q2,Total,Department Stores,56.1
1995-Q2,Total,Supermarkets,46.3
1995-Q2,Total,Mini-marts & Convenience Stores,78.6
1995-Q2,Total,Food Retailers,94.7
1995-Q2,Total,Motor Vehicles,71.8
1995-Q2,Total,Petrol Service Stations,100.9
1995-Q2,Total,Medical Goods & Toiletries,40.1
1995-Q2,Total,Wearing Apparel & Footwear,57.5
1995-Q2,Total,Furniture & Household Equipment,43
1995-Q2,Total,Recreational Goods,57.6
1995-Q2,Total,Watches & Jewellery,90.6
1995-Q2,Total,Computer & Telecommunications Equipment,18.3
1995-Q2,Total,Optical Goods & Books,72.2
1995-Q2,Total,Others,73.9
1995-Q3,Total,Department Stores,61.3
1995-Q3,Total,Supermarkets,47.7
1995-Q3,Total,Mini-marts & Convenience Stores,80.5
1995-Q3,Total,Food Retailers,100.6
1995-Q3,Total,Motor Vehicles,73.5
1995-Q3,Total,Petrol Service Stations,105.2
1995-Q3,Total,Medical Goods & Toiletries,42
1995-Q3,Total,Wearing Apparel & Footwear,61.2
1995-Q3,Total,Furniture & Household Equipment,46.4
1995-Q3,Total,Recreational Goods,58.4
1995-Q3,Total,Watches & Jewellery,95.5
1995-Q3,Total,Computer & Telecommunications Equipment,20
1995-Q3,Total,Optical Goods & Books,75.2
1995-Q3,Total,Others,80.6
1995-Q4,Total,Department Stores,68.4
1995-Q4,Total,Supermarkets,52.8
1995-Q4,Total,Mini-marts & Convenience Stores,81.4
1995-Q4,Total,Food Retailers,101.5
1995-Q4,Total,Motor Vehicles,68.4
1995-Q4,Total,Petrol Service Stations,102.7
1995-Q4,Total,Medical Goods & Toiletries,41.6
1995-Q4,Total,Wearing Apparel & Footwear,68.9
1995-Q4,Total,Furniture & Household Equipment,54.1
1995-Q4,Total,Recreational Goods,70.5
